player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Andre Jackson Jr.,jacksan01,1960.0,1.7999999999999998,-1.0,0,0,Rotational
Andre McCarter,mccaran01,1182.0,1.1,-0.2,0,0,Rotational
Andre Miller,millean02,45930.0,112.0,35.6,0,0,Superstar
Andre Moore,moorean01,100.0,0.0,-0.1,0,0,Rotational
Andre Owens,owensan01,602.0,0.2,-0.19999999999999998,0,0,Rotational
Andre Roberson,roberan03,6801.0,12.6,2.3,0,0,Rotational
Andre Spencer,spencan01,1542.0,2.8,0.30000000000000004,0,0,Rotational
Andre Turner,turnean01,2638.0,1.4999999999999998,-0.30000000000000004,0,0,Rotational
Andre Wakefield,wakefan01,1219.0,-2.0,-1.7,0,0,Rotational
Andrea Bargnani,bargnan01,15806.0,18.8,1.5,0,0,Starter
Andreas Glyniadakis,glynian01,81.0,-0.2,-0.2,0,0,Rotational
Andrei Kirilenko,kirilan01,23916.0,75.39999999999999,41.7,1,1,All-Star
Andrew Bogut,bogutan01,20445.0,51.2,15.9,0,0,All-Star
Andrew Bynum,bynuman01,11206.0,37.8,9.200000000000001,1,0,All-Star
Andrew DeClercq,declean01,10949.0,22.5,-2.3,0,0,Starter
Andrew Funk,funkan01,13.0,-0.1,0.0,0,0,Rotational
Andrew Gaze,gazean01,128.0,0.1,0.0,0,0,Rotational
Andrew Goudelock,goudean01,475.0,0.1,-0.3,0,0,Rotational
Andrew Harrison,harrian01,3174.0,3.1,-0.8,0,0,Rotational
Andrew Lang,langan01,17709.0,30.9,-0.30000000000000016,0,0,Starter
Andrew Levane,levanan01,68.0,0.8000000000000002,0.0,0,0,Rotational
Andrew Nembhard,nembhan01,7437.0,8.799999999999999,-0.2,0,0,Rotational
Andrew Nicholson,nichoan01,4422.0,3.7,-1.9000000000000001,0,0,Rotational
Andrew Toney,toneyan01,12608.0,26.9,4.6,2,1,All-Star
Andrew White,whitean01,209.0,-0.1,-0.2,0,0,Rotational
Andrew Wiggins,wiggian01,31650.0,43.6,8.2,1,0,All-Star
Andris Biedriņš,biedran01,11146.0,30.8,4.5,0,0,Starter
Andrés Guibert,guibean01,200.0,-0.30000000000000004,-0.30000000000000004,0,0,Rotational
Andrés Nocioni,nocioan01,14004.0,24.6,3.4,0,0,Starter
Andy Anderson,anderan01,7678.0,7.5,0.0,0,0,Rotational
Andy Duncan,duncaan01,0.0,6.800000000000001,0.0,0,0,Rotational
Andy Johnson,johnsan01,6772.0,8.0,0.0,0,0,Rotational
Andy Kostecka,kostean01,0.0,1.7,0.0,0,0,Rotational
Andy O'Donnell,odonnan01,0.0,0.3,0.0,0,0,Rotational
Andy Panko,pankoan01,1.0,0.0,0.0,0,0,Rotational
Andy Phillip,phillan01,18068.0,67.9,0.0,5,0,All-Star
Andy Rautins,rautian01,24.0,-0.2,-0.1,0,0,Rotational
Andy Tonkovich,tonkoan01,0.0,-0.4,0.0,0,0,Rotational
Andy Toolson,toolsan01,523.0,0.6,-0.2,0,0,Rotational
Andy Walker,walkean01,438.0,0.7,0.1,0,0,Rotational
Anfernee Hardaway,hardaan01,25806.0,64.0,27.0,4,3,Superstar
Anfernee Simons,simonan01,13164.0,18.6,3.6,0,0,Starter
Angelo Musi,musian01,0.0,5.9,0.0,0,0,Rotational
Ansley Truitt,truitan01,86.0,-0.1,0.0,0,0,Rotational
Ansu Sesay,sesayan01,1301.0,1.4,-0.4,0,0,Rotational
Antawn Jamison,jamisan01,40044.0,93.7,25.7,2,1,All-Star
Ante Žižić,zizican01,1517.0,3.5,-0.19999999999999996,0,0,Rotational
Anthony Avent,aventan01,8100.0,0.7999999999999999,-7.4,0,0,Rotational
Anthony Bennett,bennean01,1905.0,0.5,-1.3,0,0,Rotational
Anthony Black,blackan01,4961.0,6.6,0.39999999999999997,0,0,Rotational
Anthony Bonner,bonnean01,7372.0,10.6,0.10000000000000009,0,0,Rotational
Anthony Bowie,bowiean01,8349.0,12.2,1.2999999999999998,0,0,Rotational
Anthony Brown,brownan02,921.0,-0.3,-0.7,0,0,Rotational
Anthony Carter,cartean01,12647.0,10.7,-0.10000000000000003,0,0,Starter
Anthony Cook,cookan01,1702.0,1.2000000000000002,-0.8,0,0,Rotational
Anthony Davis,davisan02,29447.0,126.7,58.0,10,4,Superstar
Anthony Edwards,edwaran01,15400.0,31.3,15.8,4,2,All-Star
Anthony Frederick,fredean01,1640.0,0.7,-0.2,0,0,Rotational
Anthony Gill,gillan01,3119.0,5.8999999999999995,-1.0,0,0,Rotational
Anthony Goldwire,goldwan01,6846.0,9.5,0.8,0,0,Rotational
Anthony Grundy,grundan01,108.0,0.2,0.0,0,0,Rotational
Anthony Johnson,johnsan02,19532.0,26.5,1.1000000000000003,0,0,Starter
Anthony Jones,jonesan01,2758.0,1.6,-0.19999999999999998,0,0,Rotational
Anthony Lamb,lamban01,1618.0,2.6,-0.10000000000000003,0,0,Rotational
Anthony Mason,masonan01,30605.0,88.5,23.1,1,2,All-Star
Anthony Miller,millean01,1648.0,3.7,-0.1,0,0,Rotational
Anthony Morrow,morroan01,13377.0,24.9,4.3,0,0,Starter
Anthony Parker,parkean01,13752.0,24.5,6.0,0,0,Starter
Anthony Peeler,peelean01,21657.0,33.5,7.7,0,0,Starter
