Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Josh Green,Arizona,3,0,1,30,925.0,4.0,9.6,0.422,1.0,2.8,0.361,3.0,6.8,0.446,0.474,2.8,3.6,0.78,1.3,3.3,4.6,2.6,1.5,0.4,1.6,3.2,11.9,107.6,92.2,17.9,0.527,0.288,0.38,4.8,11.9,8.4,16.0,2.8,1.6,14.7,20.5,2.0,1.9,3.8,0.166,2.1,3.6,5.7,greenjo02
Josh Hart,Villanova,1,3,1,36,1194.0,6.6,12.9,0.51,2.1,5.1,0.404,4.5,7.8,0.579,0.59,3.5,4.7,0.747,1.4,5.0,6.4,2.9,1.6,0.3,2.0,2.7,18.7,122.3,93.6,28.2,0.619,0.395,0.367,5.9,17.5,12.2,18.8,2.9,1.0,13.4,27.1,5.1,2.6,7.7,0.257,7.5,3.3,10.8,hartjo01
Josh Okogie,Georgia Tech,3,1,1,24,873.0,5.5,13.3,0.416,1.6,4.2,0.38,4.0,9.2,0.432,0.475,5.5,6.8,0.821,2.2,4.0,6.2,2.5,1.8,1.0,2.5,3.2,18.2,107.9,100.8,22.3,0.55,0.313,0.506,7.3,13.1,10.2,15.6,2.9,2.8,15.7,26.8,2.1,1.3,3.4,0.156,5.2,1.9,7.1,okogijo01
Jrue Holiday,UCLA,3,0,0,35,950.0,3.2,7.1,0.45,0.8,2.5,0.307,2.4,4.6,0.528,0.504,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,3.2,8.5,107.2,95.4,24.5,0.531,0.353,0.249,6.0,11.8,8.9,23.8,3.5,2.1,23.4,20.5,1.2,2.1,3.3,0.138,3.3,3.4,6.7,holidjr01
Julian Champagnie,St. John's,1,2,1,31,1060.0,7.1,17.2,0.414,2.1,6.2,0.337,5.0,11.0,0.457,0.475,2.9,3.7,0.781,1.4,5.3,6.6,2.0,2.0,1.1,1.5,1.8,19.2,105.4,96.6,21.6,0.507,0.361,0.213,4.1,16.5,10.2,11.0,3.1,3.5,9.1,25.5,2.2,1.9,4.1,0.153,4.2,1.2,5.4,champju02
Julius Randle,Kentucky,3,0,2,40,1233.0,4.9,9.8,0.5,0.1,0.5,0.167,4.8,9.3,0.516,0.504,5.1,7.2,0.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,3.0,15.0,111.2,96.7,24.5,0.566,0.046,0.737,13.4,24.7,19.2,10.0,1.0,2.6,18.7,26.2,3.5,2.4,5.9,0.191,4.9,1.4,6.3,randlju01
Justin Champagnie,Pittsburgh,3,1,1,20,687.0,6.7,14.1,0.475,1.1,3.7,0.311,5.5,10.4,0.534,0.516,3.5,4.8,0.711,3.4,7.6,11.0,1.6,1.2,1.2,1.5,2.0,18.0,115.0,97.4,27.3,0.549,0.263,0.344,10.8,25.6,18.0,10.4,2.0,4.3,10.3,24.6,2.4,1.1,3.5,0.204,6.8,0.8,7.5,champju01
Karl-Anthony Towns,Kentucky,3,0,2,39,824.0,3.7,6.6,0.566,0.1,0.2,0.25,3.7,6.4,0.577,0.57,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,5.6,10.3,122.7,77.3,31.4,0.627,0.031,0.523,14.1,22.2,18.5,11.5,1.4,11.4,16.6,24.2,3.5,2.9,6.4,0.311,6.3,6.8,13.1,townska01
Kawhi Leonard,San Diego St.,1,1,2,34,1122.0,5.8,13.3,0.438,0.7,2.4,0.284,5.1,10.9,0.472,0.463,3.2,4.3,0.759,3.2,7.5,10.7,2.6,1.5,0.6,2.2,3.1,15.6,108.7,85.4,26.5,0.508,0.181,0.321,11.4,25.9,19.0,16.4,2.8,1.9,15.1,27.7,3.6,3.2,6.8,0.231,5.0,3.3,8.3,leonaka01
Keegan Murray,Iowa,3,1,1,35,1116.0,8.8,15.8,0.554,1.9,4.7,0.398,6.9,11.1,0.621,0.614,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,2.3,23.5,131.2,95.9,37.8,0.638,0.3,0.343,9.8,20.2,14.9,10.1,2.3,6.4,7.1,28.1,6.6,2.0,8.7,0.311,12.6,2.4,15.0,murrake02
Kel'el Ware,Indiana,3,1,2,30,963.0,6.3,10.7,0.588,0.6,1.3,0.425,5.7,9.3,0.611,0.614,2.8,4.5,0.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.5,15.9,117.2,101.2,25.0,0.623,0.125,0.419,8.0,26.1,17.5,9.9,1.1,6.5,12.7,22.1,2.7,1.5,4.2,0.175,5.6,2.5,8.1,wareke01
Keldon Johnson,Kentucky,3,0,1,37,1136.0,4.6,10.1,0.461,1.2,3.2,0.381,3.4,6.9,0.498,0.521,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.9,13.5,112.9,97.2,18.5,0.557,0.316,0.416,5.5,16.5,11.3,10.6,1.5,0.6,14.5,21.7,2.9,2.0,4.9,0.171,3.5,2.2,5.7,johnske04
Kelly Olynyk,Gonzaga,1,2,2,31,820.0,6.8,10.7,0.631,0.3,0.9,0.31,6.5,9.8,0.661,0.644,4.2,5.4,0.78,2.4,4.8,7.3,1.7,0.7,1.1,2.4,3.5,18.1,123.5,89.4,36.2,0.678,0.088,0.505,11.8,20.1,17.4,15.1,1.6,5.1,18.4,30.4,4.7,1.9,6.7,0.315,10.4,3.2,13.6,olynyke01
Kenrich Williams,TCU,3,3,1,32,1153.0,4.8,10.2,0.475,1.4,3.6,0.391,3.4,6.6,0.521,0.544,2.1,3.0,0.688,2.8,6.5,9.3,3.9,1.8,0.5,2.0,2.8,13.2,117.8,102.3,20.6,0.567,0.351,0.294,9.7,21.5,15.7,18.1,2.8,1.4,16.5,19.5,3.0,1.6,4.6,0.158,5.2,2.7,7.9,willike04
Kentavious Caldwell-Pope,Georgia,3,1,1,32,1086.0,5.8,13.4,0.433,2.6,7.0,0.373,3.2,6.4,0.498,0.53,4.2,5.3,0.799,1.2,5.9,7.1,1.8,2.0,0.5,2.0,2.6,18.5,112.7,89.8,27.7,0.579,0.523,0.393,4.3,19.7,12.9,16.8,3.8,1.9,13.8,27.2,3.9,2.4,6.2,0.23,8.4,3.9,12.3,caldwke01
Keon Ellis,Alabama,3,3,1,33,1021.0,3.7,8.4,0.439,2.0,5.5,0.366,1.7,2.9,0.579,0.559,2.7,3.1,0.881,1.9,4.2,6.1,1.8,1.9,0.6,1.6,3.4,12.1,122.1,101.1,19.9,0.614,0.658,0.363,6.4,14.5,10.5,10.2,3.4,1.9,16.4,16.8,2.9,1.3,4.2,0.165,5.3,3.1,8.4,elliske01
Kevin Durant,Texas,3,0,1,35,1255.0,9.8,20.6,0.473,2.6,6.5,0.404,7.1,14.2,0.505,0.536,6.7,8.2,0.816,3.4,9.1,12.4,1.5,2.1,2.1,3.2,2.3,28.8,0.0,0.0,24.5,0.587,0.314,0.396,0.0,0.0,16.5,0.0,0.0,3.5,11.4,33.2,4.7,4.1,8.8,0.28,0.0,0.0,0.0,duranke01
Kevin Huerter,Maryland,3,1,1,31,1065.0,5.1,10.1,0.5,2.3,5.5,0.414,2.8,4.7,0.6,0.611,2.4,3.1,0.763,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.8,14.8,116.3,102.0,19.4,0.636,0.543,0.309,3.9,13.1,8.8,20.0,1.1,2.1,20.4,21.5,3.0,1.6,4.5,0.165,5.5,1.6,7.1,huertke01
